                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    159,                0.26394,                0.22677,                0.95937,                0.87563,                0.79495,                 0.8208,                0.65517,                 1.0468,                 1.4021,                0.84096,               0.004819,               0.004819,               0.004819
                    160,                0.26037,                0.22716,                0.95728,                0.81743,                0.83447,                0.82464,                0.63802,                 1.0472,                 1.3975,                 0.8478,               0.004786,               0.004786,               0.004786
                    161,                0.26511,                0.22466,                0.95478,                0.84244,                0.81721,                0.82948,                0.66262,                 1.0556,                 1.3519,                0.84978,               0.004753,               0.004753,               0.004753
                    162,                0.26526,                0.22773,                0.95828,                0.83141,                0.81686,                0.82373,                0.65084,                 1.0376,                 1.3713,                0.84084,                0.00472,                0.00472,                0.00472
                    163,                0.26381,                0.22874,                0.96151,                0.83462,                0.79863,                0.81575,                0.65049,                 1.0308,                 1.3644,                0.83138,               0.004687,               0.004687,               0.004687
                    164,                0.26419,                0.22953,                0.95755,                0.84716,                0.80279,                0.81626,                0.68272,                 1.0448,                 1.3626,                0.83902,               0.004654,               0.004654,               0.004654
                    165,                0.25941,                0.22257,                  0.957,                0.85637,                0.78283,                0.81379,                0.66867,                 1.0335,                 1.3528,                0.83029,               0.004621,               0.004621,               0.004621
                    166,                0.25768,                0.22265,                0.94975,                0.87997,                0.77383,                0.81209,                0.66602,                 1.0187,                 1.3193,                0.82146,               0.004588,               0.004588,               0.004588
                    167,                0.25612,                0.22303,                 0.9561,                 0.8484,                0.78756,                0.80953,                0.65326,                 1.0439,                 1.3174,                0.84015,               0.004555,               0.004555,               0.004555
                    168,                0.25558,                0.22801,                0.95385,                0.87094,                0.78572,                0.81315,                0.64342,                 1.0308,                 1.3513,                 0.8297,               0.004522,               0.004522,               0.004522
                    169,                0.25717,                0.21639,                0.94635,                0.86308,                0.78203,                0.81026,                0.65139,                 1.0342,                 1.4043,                 0.8406,               0.004489,               0.004489,               0.004489
                    170,                0.25685,                0.22398,                0.95589,                0.82498,                0.79996,                0.80596,                0.65601,                 1.0372,                 1.4183,                0.83512,               0.004456,               0.004456,               0.004456
                    171,                0.25612,                0.21687,                0.95378,                0.84524,                0.81416,                0.81165,                0.66424,                 1.0326,                 1.3941,                0.84248,               0.004423,               0.004423,               0.004423
                    172,                   0.26,                0.21337,                0.95324,                0.86484,                0.80129,                0.81013,                0.67905,                  1.021,                 1.3977,                0.82454,                0.00439,                0.00439,                0.00439
                    173,                0.26064,                0.22535,                0.94655,                0.86071,                0.80427,                0.81176,                0.66333,                  1.019,                 1.4209,                0.82019,               0.004357,               0.004357,               0.004357
                    174,                0.25688,                0.21282,                0.95265,                0.85683,                0.79876,                0.80904,                 0.6621,                 1.0232,                 1.3719,                 0.8322,               0.004324,               0.004324,               0.004324
                    175,                0.24974,                0.21624,                0.95493,                0.86077,                0.79942,                0.81347,                 0.6527,                 1.0178,                 1.3654,                0.83076,               0.004291,               0.004291,               0.004291
                    176,                0.25593,                0.21502,                0.95007,                0.86473,                0.80245,                0.81556,                0.67745,                 1.0163,                 1.3585,                0.82574,               0.004258,               0.004258,               0.004258
                    177,                0.25744,                0.21885,                0.95147,                 0.8572,                0.78948,                0.81274,                0.66494,                 1.0161,                 1.3647,                0.82062,               0.004225,               0.004225,               0.004225
                    178,                0.24998,                0.21105,                0.95037,                0.84149,                0.80744,                0.81397,                0.65818,                 1.0294,                 1.3957,                0.82992,               0.004192,               0.004192,               0.004192
                    179,                0.25523,                0.21165,                 0.9553,                0.84863,                 0.8021,                0.81405,                0.65108,                 1.0284,                 1.3727,                0.82342,               0.004159,               0.004159,               0.004159
                    180,                0.24712,                0.20896,                  0.951,                0.85399,                0.79367,                0.81494,                0.64202,                 1.0332,                 1.3475,                0.82871,               0.004126,               0.004126,               0.004126
                    181,                0.25077,                 0.2107,                0.95191,                0.82959,                0.80443,                0.80557,                 0.6356,                 1.0283,                 1.3655,                0.83545,               0.004093,               0.004093,               0.004093
                    182,                0.24851,                0.21531,                0.95568,                 0.8234,                0.80074,                0.80561,                0.63995,                 1.0295,                 1.3689,                0.84037,                0.00406,                0.00406,                0.00406
                    183,                0.25074,                0.21681,                0.94401,                0.83271,                0.79508,                0.80708,                0.64719,                 1.0296,                 1.4105,                0.83486,               0.004027,               0.004027,               0.004027
                    184,                0.24448,                0.20084,                 0.9423,                0.84932,                0.80245,                0.81492,                0.64623,                 1.0203,                 1.3954,                0.82934,               0.003994,               0.003994,               0.003994
                    185,                0.24772,                0.20114,                0.94564,                0.84867,                0.81168,                0.81418,                 0.6453,                  1.028,                 1.3828,                0.83584,               0.003961,               0.003961,               0.003961
                    186,                 0.2507,                0.20901,                0.95304,                0.85656,                0.80258,                0.81569,                0.64516,                 1.0372,                 1.3805,                0.84451,               0.003928,               0.003928,               0.003928
                    187,                0.24652,                0.20866,                0.94735,                0.84746,                0.80627,                0.81649,                0.65094,                 1.0248,                 1.3513,                0.83295,               0.003895,               0.003895,               0.003895
                    188,                0.25219,                0.20689,                0.94618,                0.85113,                0.80627,                0.81695,                0.64998,                 1.0294,                 1.3482,                0.83807,               0.003862,               0.003862,               0.003862
                    189,                0.24411,                0.20165,                0.94354,                0.87472,                0.79705,                0.82179,                0.65083,                 1.0292,                 1.3592,                0.83864,               0.003829,               0.003829,               0.003829
                    190,                0.25043,                 0.2043,                0.94409,                0.85413,                0.80837,                0.82153,                 0.6495,                 1.0264,                  1.367,                0.84072,               0.003796,               0.003796,               0.003796
                    191,                0.24523,                0.20288,                0.94384,                0.88577,                0.79323,                0.82433,                0.65052,                 1.0216,                  1.363,                 0.8353,               0.003763,               0.003763,               0.003763
                    192,                0.24849,                0.20318,                0.94674,                0.84641,                0.82371,                0.82265,                0.64866,                 1.0248,                 1.3731,                0.83591,                0.00373,                0.00373,                0.00373
                    193,                0.24187,                0.20469,                0.93848,                0.84899,                0.81721,                0.82206,                0.65251,                 1.0226,                 1.3736,                0.83621,               0.003697,               0.003697,               0.003697
                    194,                0.24015,                0.19898,                0.94441,                0.84117,                0.81168,                0.81677,                0.64949,                 1.0263,                 1.3682,                0.83962,               0.003664,               0.003664,               0.003664
                    195,                0.24372,                0.20664,                0.94544,                0.82781,                0.82031,                0.82516,                0.65109,                 1.0266,                 1.3493,                0.83904,               0.003631,               0.003631,               0.003631
                    196,                0.24353,                 0.1977,                0.94684,                0.83157,                0.82657,                0.82672,                0.65136,                 1.0202,                 1.3556,                0.83294,               0.003598,               0.003598,               0.003598
                    197,                0.23701,                0.19747,                0.94464,                0.82952,                0.82472,                0.82384,                0.64923,                 1.0238,                 1.3365,                0.82971,               0.003565,               0.003565,               0.003565
                    198,                0.23811,                0.18721,                0.94402,                0.84561,                0.81331,                0.82305,                0.64737,                 1.0199,                 1.3421,                0.82688,               0.003532,               0.003532,               0.003532
                    199,                0.24026,                0.19468,                0.94108,                0.83587,                0.82657,                 0.8193,                0.64792,                 1.0155,                  1.343,                  0.822,               0.003499,               0.003499,               0.003499
