                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.37419,                0.41901,                 1.0327,                0.75242,                0.70458,                0.73193,                0.60596,                  1.153,                 1.3869,                0.92812,               0.008878,               0.008878,               0.008878
                     37,                 0.3676,                0.42096,                 1.0299,                0.71261,                0.74139,                 0.7468,                 0.5929,                 1.0803,                 1.6404,                0.89061,               0.008845,               0.008845,               0.008845
                     38,                0.36165,                0.41726,                 1.0228,                0.79706,                0.70394,                0.74717,                0.52334,                  1.108,                  1.368,                0.88908,               0.008812,               0.008812,               0.008812
                     39,                 0.3668,                0.41849,                 1.0297,                0.74235,                0.72577,                0.73529,                0.50462,                 1.1785,                 1.4634,                0.93951,               0.008779,               0.008779,               0.008779
                     40,                0.36241,                0.42677,                 1.0256,                0.72694,                0.74895,                0.73311,                0.54101,                 1.1356,                 1.5617,                0.89103,               0.008746,               0.008746,               0.008746
                     41,                0.36126,                0.41482,                 1.0175,                0.65878,                0.71487,                0.70014,                0.55747,                 1.1192,                  1.986,                 0.8962,               0.008713,               0.008713,               0.008713
                     42,                0.35399,                0.41219,                 1.0138,                0.76099,                0.73209,                0.75287,                 0.5641,                  1.137,                 1.4856,                0.91662,                0.00868,                0.00868,                0.00868
                     43,                 0.3606,                0.40769,                 1.0162,                0.76669,                0.74167,                0.74833,                0.60522,                 1.1021,                 1.4104,                0.87372,               0.008647,               0.008647,               0.008647
                     44,                0.35497,                0.39964,                 1.0135,                0.79586,                0.72042,                0.75711,                0.58852,                 1.0842,                 1.5084,                0.87918,               0.008614,               0.008614,               0.008614
                     45,                0.35554,                0.40026,                 1.0128,                0.66463,                0.75687,                0.70406,                0.56216,                 1.1156,                 1.6053,                0.88496,               0.008581,               0.008581,               0.008581
                     46,                0.35412,                 0.3961,                 1.0211,                0.76923,                0.72826,                 0.7551,                0.56436,                 1.1567,                 1.4098,                0.89133,               0.008548,               0.008548,               0.008548
                     47,                0.35959,                 0.3898,                 1.0189,                0.75354,                0.73399,                0.75368,                0.63075,                 1.0775,                 1.4797,                0.85307,               0.008515,               0.008515,               0.008515
                     48,                0.35409,                0.39233,                 1.0138,                0.78592,                0.77293,                0.75809,                0.59221,                  1.086,                 1.3271,                0.85448,               0.008482,               0.008482,               0.008482
                     49,                0.35282,                0.36665,                 1.0174,                0.77357,                0.75512,                0.76166,                0.64785,                 1.0837,                 1.4312,                0.88109,               0.008449,               0.008449,               0.008449
                     50,                0.34756,                0.37632,                 1.0132,                0.76955,                0.75264,                 0.7594,                0.54443,                  1.113,                 1.4587,                0.85153,               0.008416,               0.008416,               0.008416
                     51,                0.34245,                0.37552,                 1.0139,                0.78143,                0.75404,                0.76454,                0.57891,                 1.1011,                  1.395,                0.88016,               0.008383,               0.008383,               0.008383
                     52,                0.34189,                0.37994,                 1.0161,                0.78198,                0.72035,                0.74649,                0.62068,                 1.0745,                 1.2926,                0.86625,                0.00835,                0.00835,                0.00835
